run_id,phase,control,rounds,key_index,samples,job_id,panel,alpha_hex,delta_hex,alpha_description,delta_description,value_score
calibration|hespn|r10|k0000|bit_a068_d068_off+000,calibration,hespn,10,0,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0000|bit_a093_d093_off+000,calibration,hespn,10,0,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0000|bit_a118_d118_off+000,calibration,hespn,10,0,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0000|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,0,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0001|value_b00_a07_d10,calibration,hespn,10,1,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0001|value_b00_a0F_dF0,calibration,hespn,10,1,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0001|bit_a019_d019_off+000,calibration,hespn,10,1,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0001|bit_a044_d044_off+000,calibration,hespn,10,1,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0001|bit_a068_d068_off+000,calibration,hespn,10,1,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0001|bit_a093_d093_off+000,calibration,hespn,10,1,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0001|bit_a118_d118_off+000,calibration,hespn,10,1,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0001|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,1,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0002|value_b00_a07_d10,calibration,hespn,10,2,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0002|value_b00_a0F_dF0,calibration,hespn,10,2,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0002|bit_a019_d019_off+000,calibration,hespn,10,2,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0002|bit_a044_d044_off+000,calibration,hespn,10,2,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0002|bit_a068_d068_off+000,calibration,hespn,10,2,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0002|bit_a093_d093_off+000,calibration,hespn,10,2,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0002|bit_a118_d118_off+000,calibration,hespn,10,2,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0002|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,2,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0003|value_b00_a07_d10,calibration,hespn,10,3,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0003|value_b00_a0F_dF0,calibration,hespn,10,3,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0003|bit_a019_d019_off+000,calibration,hespn,10,3,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0003|bit_a044_d044_off+000,calibration,hespn,10,3,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0003|bit_a068_d068_off+000,calibration,hespn,10,3,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0003|bit_a093_d093_off+000,calibration,hespn,10,3,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0003|bit_a118_d118_off+000,calibration,hespn,10,3,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0003|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,3,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0004|value_b00_a07_d10,calibration,hespn,10,4,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0004|value_b00_a0F_dF0,calibration,hespn,10,4,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0004|bit_a019_d019_off+000,calibration,hespn,10,4,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0004|bit_a044_d044_off+000,calibration,hespn,10,4,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0004|bit_a068_d068_off+000,calibration,hespn,10,4,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0004|bit_a093_d093_off+000,calibration,hespn,10,4,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0004|bit_a118_d118_off+000,calibration,hespn,10,4,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0004|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,4,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0005|value_b00_a07_d10,calibration,hespn,10,5,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0005|value_b00_a0F_dF0,calibration,hespn,10,5,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0005|bit_a019_d019_off+000,calibration,hespn,10,5,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0005|bit_a044_d044_off+000,calibration,hespn,10,5,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0005|bit_a068_d068_off+000,calibration,hespn,10,5,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0005|bit_a093_d093_off+000,calibration,hespn,10,5,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0005|bit_a118_d118_off+000,calibration,hespn,10,5,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0005|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,5,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0006|value_b00_a07_d10,calibration,hespn,10,6,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0006|value_b00_a0F_dF0,calibration,hespn,10,6,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0006|bit_a019_d019_off+000,calibration,hespn,10,6,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0006|bit_a044_d044_off+000,calibration,hespn,10,6,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0006|bit_a068_d068_off+000,calibration,hespn,10,6,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0006|bit_a093_d093_off+000,calibration,hespn,10,6,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0006|bit_a118_d118_off+000,calibration,hespn,10,6,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0006|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,6,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r10|k0007|value_b00_a07_d10,calibration,hespn,10,7,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r10|k0007|value_b00_a0F_dF0,calibration,hespn,10,7,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r10|k0007|bit_a019_d019_off+000,calibration,hespn,10,7,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r10|k0007|bit_a044_d044_off+000,calibration,hespn,10,7,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0007|bit_a068_d068_off+000,calibration,hespn,10,7,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r10|k0007|bit_a093_d093_off+000,calibration,hespn,10,7,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r10|k0007|bit_a118_d118_off+000,calibration,hespn,10,7,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r10|k0007|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,10,7,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r12|k0000|value_b00_a07_d10,calibration,hespn,12,0,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r12|k0000|value_b00_a0F_dF0,calibration,hespn,12,0,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r12|k0000|bit_a019_d019_off+000,calibration,hespn,12,0,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r12|k0000|bit_a044_d044_off+000,calibration,hespn,12,0,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0000|bit_a068_d068_off+000,calibration,hespn,12,0,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0000|bit_a093_d093_off+000,calibration,hespn,12,0,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r12|k0000|bit_a118_d118_off+000,calibration,hespn,12,0,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r12|k0000|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,12,0,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r12|k0001|value_b00_a07_d10,calibration,hespn,12,1,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r12|k0001|value_b00_a0F_dF0,calibration,hespn,12,1,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r12|k0001|bit_a019_d019_off+000,calibration,hespn,12,1,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r12|k0001|bit_a044_d044_off+000,calibration,hespn,12,1,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0001|bit_a068_d068_off+000,calibration,hespn,12,1,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0001|bit_a093_d093_off+000,calibration,hespn,12,1,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r12|k0001|bit_a118_d118_off+000,calibration,hespn,12,1,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r12|k0001|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,12,1,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r12|k0002|value_b00_a07_d10,calibration,hespn,12,2,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r12|k0002|value_b00_a0F_dF0,calibration,hespn,12,2,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r12|k0002|bit_a019_d019_off+000,calibration,hespn,12,2,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r12|k0002|bit_a044_d044_off+000,calibration,hespn,12,2,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0002|bit_a068_d068_off+000,calibration,hespn,12,2,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0002|bit_a093_d093_off+000,calibration,hespn,12,2,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r12|k0002|bit_a118_d118_off+000,calibration,hespn,12,2,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r12|k0002|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,12,2,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r12|k0003|value_b00_a07_d10,calibration,hespn,12,3,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r12|k0003|value_b00_a0F_dF0,calibration,hespn,12,3,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r12|k0003|bit_a019_d019_off+000,calibration,hespn,12,3,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r12|k0003|bit_a044_d044_off+000,calibration,hespn,12,3,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0003|bit_a068_d068_off+000,calibration,hespn,12,3,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0003|bit_a093_d093_off+000,calibration,hespn,12,3,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r12|k0003|bit_a118_d118_off+000,calibration,hespn,12,3,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r12|k0003|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,12,3,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r12|k0004|value_b00_a07_d10,calibration,hespn,12,4,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
calibration|hespn|r12|k0004|value_b00_a0F_dF0,calibration,hespn,12,4,20000,value_b00_a0F_dF0,byte_values,0F000000000000000000000000000000,F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",
calibration|hespn|r12|k0004|bit_a019_d019_off+000,calibration,hespn,12,4,20000,bit_a019_d019_off+000,bit_positions,00001000000000000000000000000000,00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",
calibration|hespn|r12|k0004|bit_a044_d044_off+000,calibration,hespn,12,4,20000,bit_a044_d044_off+000,bit_positions,00000000000800000000000000000000,00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0004|bit_a068_d068_off+000,calibration,hespn,12,4,20000,bit_a068_d068_off+000,bit_positions,00000000000000000800000000000000,00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",
calibration|hespn|r12|k0004|bit_a093_d093_off+000,calibration,hespn,12,4,20000,bit_a093_d093_off+000,bit_positions,00000000000000000000000400000000,00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",
calibration|hespn|r12|k0004|bit_a118_d118_off+000,calibration,hespn,12,4,20000,bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
calibration|hespn|r12|k0004|bytepos_ab15_db15_a07_d10_off+00,calibration,hespn,12,4,20000,bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
calibration|hespn|r12|k0005|value_b00_a07_d10,calibration,hespn,12,5,20000,value_b00_a07_d10,byte_values,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",2
